AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,760101,ต. ท่าราบ,Tha Rap,7601,อ. เมืองเพชรบุรี,Mueang Phetchaburi,76,จ. เพชรบุรี,Phetchaburi,13.097,99.949
4,130704,ต. กระแชง,Krachaeng,1307,อ. สามโคก,Sam Khok,13,จ. ปทุมธานี,Pathum Thani,14.043,100.544
4,110111,ต. บางโปรง,,1101,อ. เมืองสมุทรปราการ,Mueang Samut Prakan,11,จ. สมุทรปราการ,Samut Prakarn,13.623,100.565
4,760610,ต. ลาดโพธิ์,Lat Pho,7606,อ. บ้านลาด,Ban Lat,76,จ. เพชรบุรี,Phetchaburi,13.102,99.895
4,120106,ต. บางไผ่,Bang Phai,1201,อ. เมืองนนทบุรี,Mueang Nonthaburi,12,จ. นนทบุรี,Nonthaburi,13.823,100.492
4,140201,ต. ท่าเรือ,Tha Ruea,1402,อ. ท่าเรือ,Tha Ruea,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.566,100.719
4,940309,ต. บางตาวา,Bang Tawa,9403,อ. หนองจิก,Nong Chik,94,จ. ปัตตานี,Pattani,6.858,101.158
4,750204,ต. โรงหีบ,Rong Hip,7502,อ. บางคนที,Bang Khonthi,75,จ. สมุทรสงคราม,Samut Songkhram,13.470,99.931
4,103303,แขวง พระโขนง,,1033,เขต คลองเตย,Khlong Toei,10,กรุงเทพมหานคร,Bangkok,13.707,100.595
4,110409,ต. บางกะเจ้า,Bang Kachao,1104,อ. พระประแดง,Phra Pradaeng,11,จ. สมุทรปราการ,Samut Prakarn,13.697,100.561
4,191005,ต. ศาลารีไทย,Sala Ri Thai,1910,อ. เสาไห้,Sao Hai,19,จ. สระบุรี,Saraburi,14.565,100.848
4,750106,ต. ท้ายหาด,Thai Hat,7501,อ. เมืองสมุทรสงคราม,Mueang Samut Songkhram,75,จ. สมุทรสงคราม,Samut Songkhram,13.399,99.976
4,901107,ต. คลองอู่ตะเภา,Khlong U Ta Phao,9011,อ. หาดใหญ่,Hat Yai,90,จ. สงขลา,Songkhla,7.045,100.446
4,501506,ต. สบแม่ข่า,Sop Mae Kha,5015,อ. หางดง,Hang Dong,50,จ. เชียงใหม่,Chiang Mai,18.689,98.980
4,150105,ต. บ้านแห,Ban Hae,1501,อ. เมืองอ่างทอง,Mueang Ang Thong,15,จ. อ่างทอง,Ang Thong,14.565,100.434
4,510601,ต. ปากบ่อง,Pak Bong,5106,อ. ป่าซาง,Pa Sang,51,จ. ลำพูน,Lamphun,18.537,98.933
4,150209,ต. ตรีณรงค์,Tri Narong,1502,อ. ไชโย,Chaiyo,15,จ. อ่างทอง,Ang Thong,14.676,100.498
4,220304,ต. บ่อพุ,Bo Phu,2203,อ. ท่าใหม่,Tha Mai,22,จ. จันทบุรี,Chanthaburi,12.595,102.028
4,102007,แขวง บางขุนศรี,,1020,เขต บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok,13.760,100.463
4,140702,ต. ขยาย,Khayai,1407,อ. บางปะหัน,Bang Pahan,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.414,100.564
4,850502,ต. กำพวน,Kamphuan,8505,อ. สุขสำราญ,Suk Samran,85,จ. ระนอง,Ranong,9.495,98.349
4,820101,ต. ท้ายช้าง,Thai Chang,8201,อ. เมืองพังงา,Mueang Phang-nga,82,จ. พังงา,Phang-nga,8.446,98.524
4,500116,ต. สันผีเสื้อ,San Phisuea,5001,อ. เมืองเชียงใหม่,Mueang Chiang Mai,50,จ. เชียงใหม่,Chiang Mai,18.841,98.998
4,501102,ต. ทุ่งหลวง,Thung Luang,5011,อ. พร้าว,Phrao,50,จ. เชียงใหม่,Chiang Mai,19.359,99.202
4,120608,ต. เกาะเกร็ด,Ko Kret,1206,อ. ปากเกร็ด,Pak Kret,12,จ. นนทบุรี,Nonthaburi,13.910,100.472
4,910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,6.526,99.169
4,141601,ต. บ้านแพรก,Ban Phraek,1416,อ. บ้านแพรก,Ban Phraek,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.640,100.585
4,120605,ต. บางตะไนย์,Bang Tanai,1206,อ. ปากเกร็ด,Pak Kret,12,จ. นนทบุรี,Nonthaburi,13.931,100.492
4,430101,ต. ในเมือง,Nai Mueang,4301,อ. เมืองหนองคาย,Mueang Nong Khai,43,จ. หนองคาย,Nong Khai,17.890,102.761
4,110407,ต. เทศบาลสำโรงใต้,Samrong Tai,1104,อ. พระประแดง,Phra Pradaeng,11,จ. สมุทรปราการ,Samut Prakarn,13.641,100.573
4,101907,แขวง บางเชือกหนัง,,1019,เขต ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok,13.751,100.419
4,200905,ต. แสมสาร,Samae San,2009,อ. สัตหีบ,Sattahip,20,จ. ชลบุรี,Chon Buri,12.577,100.947
4,860801,ต. ปากตะโก,Pak Tako,8608,อ. ทุ่งตะโก,Thung Tako,86,จ. ชุมพร,Chumphon,10.112,99.141
